Date,Price,Open,High,Low,Vol.,Change %
09/15/2021,15503.53,15419.95,15518.95,15316.40,193.25M,0.78%
09/14/2021,15382.90,15505.78,15525.97,15352.06,171.39M,-0.33%
09/13/2021,15434.50,15545.66,15562.28,15351.70,174.43M,-0.04%
09/10/2021,15440.75,15648.05,15673.50,15433.43,172.65M,-0.77%
09/09/2021,15561.05,15639.44,15675.46,15556.74,140.37M,-0.38%
09/08/2021,15620.85,15669.01,15669.01,15528.45,151.55M,-0.35%
09/07/2021,15675.76,15662.30,15701.40,15610.23,162.99M,0.15%
09/03/2021,15652.86,15578.96,15668.12,15554.97,129.04M,0.31%
09/02/2021,15604.25,15656.28,15681.75,15554.29,142.46M,-0.05%
09/01/2021,15611.57,15637.13,15696.42,15603.67,157.20M,0.19%
08/31/2021,15582.51,15601.34,15604.45,15522.78,224.25M,-0.14%
08/30/2021,15605.09,15460.93,15620.62,15459.74,144.22M,1.12%
08/27/2021,15432.95,15305.75,15447.03,15292.74,153.36M,1.01%
08/26/2021,15278.52,15348.98,15369.28,15265.23,136.20M,-0.59%
08/25/2021,15368.92,15384.83,15404.36,15341.92,174.49M,0.07%
08/24/2021,15357.68,15338.92,15384.42,15319.55,147.83M,0.29%
08/23/2021,15312.82,15140.14,15341.47,15140.14,164.19M,1.46%
08/20/2021,15092.57,14974.06,15103.94,14968.87,176.44M,1.06%
08/19/2021,14933.93,14773.19,15000.19,14773.19,186.79M,0.51%
08/18/2021,14857.92,14975.02,15039.90,14846.51,152.36M,-0.97%
08/17/2021,15002.83,15018.94,15062.70,14906.22,159.61M,-0.91%
08/16/2021,15140.77,15090.05,15142.03,14931.15,157.03M,0.03%
08/13/2021,15136.68,15101.84,15150.48,15079.30,126.45M,0.32%
08/12/2021,15088.98,15012.60,15097.91,14956.25,150.50M,0.41%
08/11/2021,15027.76,15101.82,15127.78,14972.60,152.59M,-0.17%
08/10/2021,15053.58,15157.37,15169.45,15010.16,150.54M,-0.53%
08/09/2021,15133.11,15136.14,15154.68,15081.75,138.30M,0.16%
08/06/2021,15109.36,15125.74,15162.34,15063.02,153.25M,-0.48%
08/05/2021,15181.64,15105.40,15184.27,15083.83,152.62M,0.65%
08/04/2021,15083.39,15059.17,15117.38,15017.14,193.18M,0.15%
08/03/2021,15061.42,14997.20,15063.66,14864.53,166.87M,0.65%
08/02/2021,14963.62,15046.10,15059.89,14945.13,157.33M,0.02%
07/30/2021,14959.90,14882.39,14990.86,14882.39,189.00M,-0.59%
07/29/2021,15048.36,15015.30,15091.96,15004.42,177.41M,0.20%
07/28/2021,15018.10,15005.17,15078.85,14913.55,202.00M,0.41%
07/27/2021,14956.97,15103.01,15107.74,14787.80,220.40M,-1.12%
07/26/2021,15125.95,15088.28,15142.35,15048.23,168.93M,0.09%
07/23/2021,15111.79,15004.43,15125.84,14948.04,165.31M,1.15%
07/22/2021,14940.17,14865.47,14941.38,14865.47,138.61M,0.66%
07/21/2021,14842.63,14723.67,14843.17,14710.11,156.24M,0.78%
07/20/2021,14728.21,14601.33,14790.60,14530.78,276.12M,1.23%
07/19/2021,14549.09,14517.96,14578.96,14455.07,204.01M,-0.90%
07/16/2021,14681.38,14842.08,14875.97,14667.10,172.33M,-0.77%
07/15/2021,14794.69,14903.49,14907.51,14717.55,163.32M,-0.71%
07/14/2021,14900.44,14984.86,15001.13,14871.73,156.74M,0.17%
07/13/2021,14874.54,14871.04,15002.28,14843.80,134.41M,-0.02%
07/12/2021,14877.89,14878.71,14899.46,14813.79,135.33M,0.35%
07/09/2021,14826.09,14709.33,14838.72,14685.54,158.93M,0.71%
07/08/2021,14722.14,14577.67,14763.67,14551.76,178.03M,-0.60%
07/07/2021,14810.53,14889.76,14891.19,14735.75,151.62M,0.16%
07/06/2021,14786.36,14755.15,14797.45,14635.31,167.10M,0.40%
07/02/2021,14727.63,14633.51,14738.14,14626.82,140.17M,1.15%
07/01/2021,14560.05,14530.63,14576.64,14483.42,151.35M,0.04%
06/30/2021,14554.80,14560.07,14582.30,14530.87,174.74M,-0.12%
06/29/2021,14572.75,14523.63,14575.19,14481.84,139.36M,0.33%
06/28/2021,14524.98,14401.63,14530.07,14400.59,152.05M,1.25%
06/25/2021,14345.18,14396.63,14401.71,14324.26,248.91M,-0.14%
06/24/2021,14365.96,14358.30,14429.14,14337.65,146.08M,0.64%
06/23/2021,14274.24,14275.09,14324.74,14247.58,132.78M,0.03%
06/22/2021,14270.42,14140.30,14288.49,14128.01,149.36M,0.94%
06/21/2021,14137.23,14055.03,14150.91,13967.89,159.46M,0.62%
06/18/2021,14049.58,14125.12,14140.61,14024.60,403.49M,-0.81%
06/17/2021,14163.81,13946.70,14205.43,13946.52,190.93M,1.29%
06/16/2021,13983.01,14053.12,14100.11,13843.60,170.77M,-0.34%
06/15/2021,14030.41,14120.81,14126.25,14008.93,139.28M,-0.69%
06/14/2021,14128.20,14002.14,14129.33,13963.94,152.38M,0.93%
06/11/2021,13998.30,13959.47,13998.65,13934.00,138.26M,0.27%
06/10/2021,13960.35,13834.26,13962.99,13817.83,161.47M,1.05%
